term;term.soort;term.status;bron;term.nummer;scope_note
bretel;objectnaam;niet gedefinieerd;http://vocab.getty.edu/aat/;"";Over de schouder geleide (elastische) draagband voor broeken om het afzakken daarvan te beletten.
piano;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300042909;"Snaar-, tevens toetseninstrumenten, waarbij snaren in trilling worden gebracht door terugstuitende hamers, bestuurd door toetsen. (AAT)
Muziekinstrument waarbij door middel van een claviatuur hamertjes met snaren in aanraking worden gebracht, zodat deze geluid geven. (Van Dale)"
strijkbout;objectnaam$onderwerp;non-descriptor;"";"";""
Aarschot;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7007851;""
partituur;objectnaam;non-descriptor;"";"";""
stropdas;objectnaam;descriptor;http://vocab.getty.edu/aat/;300210068;""
coupeschaar;objectnaam;non-descriptor;"";"";""
gieten;techniek;descriptor;http://vocab.getty.edu/aat/;300054038;""
hoofdtooi;objectnaam;descriptor;http://vocab.getty.edu/aat/;300046023;Met zorg uitgewerkte hoofddeksels die vooral worden gedragen bij ceremoniële gelegenheden of als sierraad.
emailleren;techniek;descriptor;http://vocab.getty.edu/aat/;300053773;""
Bazel;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7245438;""
pennenbakje;objectnaam;non-descriptor;"";"";""
ebbenhout;materiaal;descriptor;http://vocab.getty.edu/aat/;300012055;""
tandpasta;objectnaam;descriptor;http://vocab.getty.edu/aat/;300265584;Pasta-achtig middel waarmee de tanden gepoetst kunnen worden. (Van Dale)
lassen;techniek;descriptor;http://vocab.getty.edu/aat/;300053958;""
badkuip;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300052625;Tobbes of kuipen waarin men een bad kan nemen, zich kan wassen
satijn;materiaal;descriptor;http://vocab.getty.edu/aat/;300132902;""
glasblazen;techniek;descriptor;http://vocab.getty.edu/aat/;300053932;""
jeneverglas;objectnaam;non-descriptor;"";"";""
handel/café;collectie;niet gedefinieerd;"";"";""
blaaspijp;objectnaam;niet gedefinieerd;"";"";""
vuurwerk;objectnaam;descriptor;http://vocab.getty.edu/aat/;300249832;Explosieve voorwerpen die meestal bestaan uit een papieren omhulsel dat een brandbaar mengsel van stoffen bevat, ontworpen om licht, geluid, rook en/of gasdruk voort te brengen. Gebruik 'siervuurwerken' voor feestelijke vertoningen van licht, geluid en rook. 
graveren;techniek;niet gedefinieerd;"";"";""
boekentas;objectnaam;non-descriptor;"";"";""
diameter;afmeting;descriptor;http://vocab.getty.edu/aat/;300055624;""
muziekinstrumentenbouwer;rol;niet gedefinieerd;"";"";""
Ambert;plaats$geografisch trefwoord;niet gedefinieerd;"";"";""
Norwich;plaats;descriptor;http://vocab.getty.edu/tgn/;7012005;""
Amsterdam;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7006952;""
spel en vermaak;motief;niet gedefinieerd;"";"";""
waterpistool;objectnaam;descriptor;http://vocab.getty.edu/aat/;300211262;"Speelgoedpistool dat een straal water schiet. (Van Dale)
Te gebruiken voor speelgoedpistolen waarmee stralen vloeistof worden geschoten, meestal water. (AAT)"
crucifix;objectnaam;non-descriptor;"";"";""
verkleedkleding;objectcategorie;descriptor;http://vocab.getty.edu/aat/;300224229;Drachten voor feesten, zolas gala's en gemaskerde bals, soms geïnspireerd op kleding die kenmerkend is voor een bepaalde periode of plaats, sociale klasse of voor een historisch of verzonnen personage. 
slabak;objectnaam;non-descriptor;"";"";""
balijzer;objectnaam;non-descriptor;"";"";""
santon;objectnaam;descriptor;http://vocab.getty.edu/aat/;300262957;Kleine, beschilderde kleifiguren, oorspronkelijk afkomstig uit de Provence, die worden gebruikt in kersttaferelen.
West-Europa;geografisch trefwoord;niet gedefinieerd;"";"";""
karaf;objectnaam;descriptor;http://vocab.getty.edu/aat/;300198495;Flessen of kannen met handvatten voor het serveren van wijn of water.
fabriek;onderwerp;descriptor;http://vocab.getty.edu/aat/;300379421;Bedrijven, instellingen of andere administratieve organisaties die het proces van goederen maken regelen, met name dergelijke instellingen na de Industriële Revolutie van het midden van de 19e eeuw. Vaak maken ze gebruik van mechanische productiemethoden en werken ze niet alleen met de hand. Moderne fabrieken organiseren hun activiteiten zodanig dat productie op grote schaal mogelijk is, meestal met machines die door elektriciteit worden aangedreven. Gebruik 'manufacturen' voor organisaties die met de hand dingen maakten. 
methodiek;onderwerp;niet gedefinieerd;"";"";""
Barcelona;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7007426;""
krultang;objectnaam;non-descriptor;"";"";""
maatschappijbord;objectnaam;non-descriptor;"";"";""
okkernoot;"";descriptor;https://www.wikidata.org/entity/;Q46871;""
cinecamera;objectnaam$onderwerp;non-descriptor;"";"";""
brandmerkijzer;objectnaam;non-descriptor;"";"";""
klinkdopper;objectnaam;non-descriptor;"";"";""
juwelier;rol;descriptor;https://www.wikidata.org/entity/;Q336221;""
bij;dier;descriptor;http://vocab.getty.edu/aat/;300375640;""
bodemmes;objectnaam;non-descriptor;"";"";""
biljartbal;objectnaam;niet gedefinieerd;"";"";""
Europa;geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;1000003;""
kader;objectnaam;non-descriptor;"";"";""
bladmetaal;materiaal;non-descriptor;"";"";""
foulard;objectnaam;non-descriptor;"";"";""
