term;term.soort;term.status;bron;term.nummer;scope_note
schenking;verwervingsmethode$afstotingsmethode;descriptor;http://vocab.getty.edu/aat/;300138913;""
motoren;trefwoord$motief$objectcategorie$onderwerp;descriptor;http://vocab.getty.edu/aat/;300024609;Ronddraaiende machines die elektrische energie omzetten in mechanische energie. 
jaarboek;materiaalsoort$objectnaam;descriptor;http://vocab.getty.edu/aat/;300026646;""
handweven;trefwoord$onderwerp;descriptor;http://vocab.getty.edu/aat/;300053643;""
's-Hertogenbosch;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7006837;""
ijzer;trefwoord$materiaal$motief$onderwerp;descriptor;http://vocab.getty.edu/aat/;300011002;"Te gebruiken voor het zuivere metaalelement met het symbool Fe en het atoomnummer 26; een glimmend, zilverachtig zacht metaal dat roest wanneer het aan vochtige lucht wordt blootgesteld. Gebruik ook voor dit metaal als het wordt verwerkt en gevormd, meestal in combinatie met andere stoffen, om diverse objecten en materialen te maken."
porselein;trefwoord$materiaal$onderwerp;descriptor;http://vocab.getty.edu/aat/;300010662;""
Meulebeke;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1026607;""
edele metalen;trefwoord;descriptor;http://vocab.getty.edu/aat/;300011054;""
metaal;materiaal$onderwerp;descriptor;http://vocab.getty.edu/aat/;300010900;Alle leden van een grote groep stoffen die meestal een kenmerkende glans vertonen. Het zijn goede geleiders van elektriciteit en warmte, ze zijn ondoorschijnend, kunnen smelten en zijn meestal pletbaar of kneedbaar.
sabel;objectnaam;descriptor;http://vocab.getty.edu/aat/;300030786;""
schuurpapierhouder;objectnaam;niet gedefinieerd;"";"";""
Venetië$plaats;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7018159;""
werktuigbouwkunde;trefwoord;descriptor;http://vocab.getty.edu/aat/;300054504;""
mode;trefwoord$motief$onderwerp;descriptor;http://vocab.getty.edu/aat/$https://www.wikidata.org/entity/;300055811$Q12684;""
koper-nikkel;materiaal;descriptor;http://vocab.getty.edu/aat/;300010951;De term die wordt gebruikt voor de 75-25 en 50-50 cupronikkel platen, staven en kogels die worden gebruikt om nikkel aan messingsoorten toe te voegen.
tapijtkunst;trefwoord$objectnaam$motief;non-descriptor;"";"";""
